Macro taxonomy,Category,Subcategory,Tool/Product name,Company/Vendor,Model basis/stack,Deployment/Access,Primary use case(s),Short factual description,Notes/limitations,Confidence,Primary sources (prioritized)
Communicate,General AI assistant,Consumer/work assistant chat,ChatGPT,OpenAI,"GPT‑5.2 (Instant/Thinking/Pro tiers in ChatGPT), multimodal + tool calling",SaaS (web/mobile/desktop); API (separate),General-purpose assistant for writing, analysis, coding, and multimodal tasks,ChatGPT is a user-facing AI assistant that provides conversational help across knowledge work and supports multimodal inputs and tool use.,Exact model availability varies by plan; older chats can be remapped to newer model equivalents.,High,https://openai.com/index/introducing-gpt-5-2/ | https://help.openai.com/en/articles/11909943-gpt-52-in-chatgpt
Create,Content creation,Image generation & editing,ChatGPT Images,OpenAI,"GPT Image family (e.g., gpt-image-1.5 / 1 / mini); natively multimodal language model for image generation",SaaS (ChatGPT); API (OpenAI image generation),Generate and edit images from prompts and context,ChatGPT includes an image generation experience powered by OpenAI’s GPT Image models supporting prompt-based creation and edits.,Model naming and rollout may change; usage limits differ by plan.,High,https://openai.com/index/new-chatgpt-images-is-here/ | https://developers.openai.com/api/docs/guides/image-generation/
Create,Content creation,Image generation (4o native),GPT‑4o Image Generation,OpenAI,GPT‑4o native image generation (multimodal),SaaS (ChatGPT); also referenced for Sora integration,"Prompt-to-image and image editing in chat",OpenAI describes GPT‑4o image generation as integrated with chat context and instruction following for practical visual creation and editing.,Not all users get same throughput; policy filters apply.,High,https://openai.com/index/introducing-4o-image-generation/
Create,Video,Text-to-video / image-to-video,Veo 3.1 (in Gemini),Google,"Veo 3.1 video generation model; multimodal; supports reference images",SaaS (Gemini app/web); API via Gemini API / Google AI Studio / Vertex AI,Generate short videos (incl. social formats) from prompts and images,Gemini provides video generation powered by Veo 3.1 including reference-image control and vertical generation options.,Availability varies by plan/region; output length/format constraints.,High,https://gemini.google/overview/video-generation/ | https://developers.googleblog.com/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/
Create,Video,Video generation model,Veo 3,Google DeepMind,"Veo 3 video generation model (native audio + extended videos per vendor)",SaaS via Flow; models also surface via Gemini ecosystem,Video generation for creative production,DeepMind positions Veo as its video-generation model with creative controls and (for Veo 3) native audio capability.,"Specific capabilities depend on Veo version and access surface (Flow / API / app).",High,https://deepmind.google/models/veo/
Create,Image,Text-to-image / editing via API,Imagen (Gemini API),Google,"Imagen image generation model family; transformer-driven generative image model",API (Gemini API); also available via Gemini/Vertex AI surfaces,Generate high-fidelity images from text prompts,Google provides Imagen as a high-fidelity image generation model for text-to-image workflows in the Gemini API.,Primarily developer-facing API; end-user exposure depends on product integration.,High,https://ai.google.dev/gemini-api/docs/imagen | https://deepmind.google/models/imagen/
Create,Image,Native image generation & editing,Gemini 2.5 Flash Image (Nano Banana),Google,Gemini 2.5 Flash Image (preview) image generation/editing model,API (Gemini API / AI Studio / Vertex AI); SaaS (Gemini app) depending on plan,Generate and edit images with natural language and multi-image fusion,Google’s Gemini 2.5 Flash Image supports prompt-based image generation/editing plus multi-image fusion and world-knowledge-assisted creation.,"Model variant names and pricing can change; some access in preview.",High,https://developers.googleblog.com/introducing-gemini-2-5-flash-image/ | https://ai.google.dev/gemini-api/docs/image-generation
Create,Image,Text-to-image service,Midjourney V7,Midjourney, Inc.,"Proprietary image model (V7) with text+image prompting; architecture not disclosed publicly","SaaS (web + Discord interface)",Generate stylized and photorealistic images from prompts,"Midjourney’s V7 is the service’s image model version used for text/image prompts, with features like Draft Mode and Omni Reference.",Model architecture not disclosed; requires Midjourney access; usage is subscription-based.,High,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version | https://updates.midjourney.com/v7-is-now-the-default-model/
Create,Design,Template-based design with gen AI,Adobe Express AI Assistant,Adobe,"Firefly + third-party models (model router/selection by Adobe)","SaaS (web/mobile)",Generate and edit designs with natural-language prompts,Adobe Express includes an AI Assistant that lets users create and edit designs via conversational prompts powered by Firefly and partner models.,User cannot manually select underlying model; feature may be beta depending on account.,High,https://helpx.adobe.com/express/web/ai-assistant/adobe-express-ai-assistant-overview.html | https://www.adobe.com/express/ai
Create,Design,Generative media hub,Adobe Firefly,Adobe,"Firefly model family + partner models (e.g., OpenAI, Google) via Firefly","SaaS (web); integrated into Creative Cloud apps","Generate images/video/audio/design assets","Adobe Firefly is a generative AI app and model family for creating media assets; Adobe also integrates partner models into Firefly.",Not all generations are LLM-based; some are diffusion/other generative stacks (transformer components vary).,Medium,https://www.adobe.com/products/firefly.html | https://www.adobe.com/products/firefly/plans.html
